Song_ID,Annotation,Begin Time (s),End Time (s),Low Freq (kHz),High Freq (kHz),Delta Time (s),Delta Freq (kHz)
1,song,35.28926818,36.115172785,1.813708,5.820738,0.8259,4.00703
2,song,77.24806021,78.204370806,1.4340950000000001,6.706503,0.9563,5.272408
3,song,3.680754712,4.386049028,2.1511419999999997,6.0738140000000005,0.7053,3.922671
4,song,10.711657424,11.483073082,2.488576,6.0738140000000005,0.7714,3.5852370000000002
5,song,18.381733111,19.131108321,2.2776799999999997,6.0738140000000005,0.7494,3.796134
6,song,26.690981771,27.462397429,2.319859,6.031634,0.7714,3.7117750000000003
7,song,2.898414175,4.005673523,2.259542,6.229008,1.1073,3.969466
8,song,11.365691542,12.603216695,2.320611,6.351145000000001,1.2375,4.030534
9,song,24.359705654,25.43439855,2.503817,5.801527,1.0747,3.29771
10,song,28.397945629,29.602904331,2.320611,6.229008,1.205,3.908397
11,song,41.74961956,42.889445359,2.259542,6.1679390000000005,1.1398,3.908397
12,song,1.570740779,2.510316313,1.6275920000000001,7.324165,0.9396,5.696573000000001
13,song,8.628315786,9.410100009,1.4725830000000002,6.471617,0.7818,4.999033000000001
14,song,7.946967609,9.35811139,0.9160309999999999,7.145038,1.4111,6.229008
15,song,53.236537548,54.870493505,0.458015,7.236641,1.634,6.778626
16,song,58.361217595,59.846632101,0.7328239999999999,7.51145,1.4854,6.778626
17,song,64.599958521,66.011102302,0.7328239999999999,7.419847,1.4111,6.687023
18,song,67.94214116,69.501826392,0.458015,7.236641,1.5597,6.778626
19,song,81.385142442,82.796286223,0.7328239999999999,6.961832,1.4111,6.229008
20,song,92.67429269,94.159707196,0.549618,6.59542,1.4854,6.045802
21,song,140.244820471,141.655964252,0.9160309999999999,6.412214,1.4111,5.496183
22,song,8.192665568,9.412849801,1.099237,6.045802,1.2202,4.946565
23,song,14.318488454,15.513770969,1.19084,6.045802,1.1953,4.854962
24,song,20.045883836,21.415478384,0.7328239999999999,6.137405,1.3696,5.40458
25,song,2.489313256,3.748965747,1.009924,5.217939,1.2597,4.2080150000000005
26,song,8.397683274,9.687327491,1.1782439999999998,5.217939,1.2896,4.039695
27,song,15.715664412,17.065292081,1.094084,5.217939,1.3496,4.123855
28,song,22.073910319,23.33356281,1.009924,5.1337790000000005,1.2597,4.123855
29,song,29.241932828,30.471593593,1.1782439999999998,5.38626,1.2297,4.2080150000000005
30,song,36.499930515,37.699599554,1.094084,5.302099,1.1997,4.2080150000000005
31,song,1.30470628,2.683967205,1.705097,6.471617,1.3793,4.766520000000001
32,song,10.996810078,12.33879368,1.705097,6.122847,1.342,4.41775
33,song,37.277322297,38.917524478,1.58884,5.386555,1.6402,3.797715
34,song,46.596652871,48.236855052,1.705097,5.2702990000000005,1.6402,3.565202
35,song,0.822463801,2.250953562,1.465649,7.603053,1.4285,6.137405
36,song,38.049772704,39.30511219,1.557252,6.961832,1.2553,5.40458
37,song,56.73695908,57.819148293,1.19084,7.053435,1.0822,5.862595000000001
38,song,67.861864183,69.203778806,1.282443,7.78626,1.3419,6.503817
39,song,95.583856072,96.79590799,1.465649,6.412214,1.2121,4.946565
40,song,106.275885489,107.531224976,1.465649,7.78626,1.2553,6.320611
41,song,121.841068388,123.096407874,1.465649,6.778626,1.2553,5.312977
42,song,181.877063881,182.915965525,1.557252,6.229008,1.0389,4.671756
43,song,195.38278525,196.638124737,1.557252,6.229008,1.2553,4.671756
44,song,216.537701445,217.706465794,1.19084,6.045802,1.1688,4.854962
45,song,237.099296478,238.224773259,1.19084,6.320611,1.1255,5.129771
46,song,1.578102472,3.119504887,1.012302,5.14587,1.5414,4.133568
47,song,22.937535935,24.442238292,0.9701230000000001,4.892794,1.5047,3.922671
48,song,68.537114716,70.225317361,1.096661,4.555359999999999,1.6882,3.458699
49,song,5.511927674,6.589447369,1.923664,6.229008,1.0775,4.305344
50,song,9.449018869,10.402209369,1.923664,6.412214,0.9532,4.48855
51,song,14.214971369,15.168161869,1.648855,6.412214,0.9532,4.763359
52,song,19.768342108,20.638646477,1.832061,6.320611,0.8703,4.48855
53,song,23.208116521,24.036977825,1.923664,6.137405,0.8289,4.21374
54,song,28.15227972,29.18835635,1.740458,5.862595000000001,1.0361,4.1221369999999995
55,song,32.089370915,33.00111835,1.832061,6.412214,0.9117,4.580153
56,song,35.446259198,36.275120502,1.832061,6.137405,0.8289,4.305344
57,song,39.507679589,40.295097828,1.832061,4.854962,0.7874,3.022901
58,song,43.229755926,43.934288035,1.923664,6.229008,0.7045,4.305344
59,song,47.70560697,48.7416836,2.10687,6.045802,1.0361,3.938931
60,song,54.507675087,55.626637848,1.648855,6.320611,1.119,4.671756
61,song,70.038106451,70.90841082,2.10687,5.954198000000001,0.8703,3.847328
62,song,74.016640712,74.845502016,2.198473,6.412214,0.8289,4.21374
63,song,0.992639786,1.888906777,1.832061,6.412214,0.8963,4.580153
64,song,9.422248961,10.34742779,2.015267,6.503817,0.9252,4.48855
65,song,18.766434051,19.614514645,1.832061,6.412214,0.8481,4.580153
66,song,27.351875277,28.286691386,1.923664,6.229008,0.9348,4.305344
67,song,39.31852329,40.22442756,1.923664,6.503817,0.9059,4.580153
68,song,52.257924309,53.086730344,1.832061,6.045802,0.8288,4.21374
69,song,0.997906822,1.974120017,1.391916,6.3690690000000005,0.9762,4.977153
70,song,8.872693265,9.827212834,1.4762739999999999,6.3690690000000005,0.9545,4.892794
71,song,16.313607177,17.333207626,1.391916,6.3690690000000005,1.0196,4.977153
72,song,27.428482776,28.383002345,1.4762739999999999,5.6098419999999996,0.9545,4.133568
73,song,4.895281416,6.194227375,0.632689,4.8506149999999995,1.2989,4.217926
