"Selection","View","Channel","Begin Time (s)","End Time (s)","Low Freq (Hz)","High Freq (Hz)","Delta Time (s)","Delta Freq (Hz)","Avg Power Density (dB FS/Hz)","Annotation"
1,"Spectrogram 1",1,5.511927674,6.589447369,1923.664,6229.008,1.0775,4305.344,-39.89,"song"
2,"Spectrogram 1",1,9.449018869,10.402209369,1923.664,6412.214,0.9532,4488.55,-37.98,"song"
3,"Spectrogram 1",1,14.214971369,15.168161869,1648.855,6412.214,0.9532,4763.359,-40.07,"song"
4,"Spectrogram 1",1,19.768342108,20.638646477,1832.061,6320.611,0.8703,4488.55,-43.21,"song"
5,"Spectrogram 1",1,23.208116521,24.036977825,1923.664,6137.405,0.8289,4213.74,-42.39,"song"
6,"Spectrogram 1",1,28.15227972,29.18835635,1740.458,5862.595,1.0361,4122.137,-46.12,"song"
7,"Spectrogram 1",1,32.089370915,33.00111835,1832.061,6412.214,0.9117,4580.153,-40.19,"song"
8,"Spectrogram 1",1,35.446259198,36.275120502,1832.061,6137.405,0.8289,4305.344,-42.88,"song"
9,"Spectrogram 1",1,39.507679589,40.295097828,1832.061,4854.962,0.7874,3022.901,-51.36,"song"
10,"Spectrogram 1",1,43.229755926,43.934288035,1923.664,6229.008,0.7045,4305.344,-58.29,"song"
11,"Spectrogram 1",1,47.70560697,48.7416836,2106.87,6045.802,1.0361,3938.931,-41,"song"
12,"Spectrogram 1",1,54.507675087,55.626637848,1648.855,6320.611,1.119,4671.756,-39.97,"song"
13,"Spectrogram 1",1,70.038106451,70.90841082,2106.87,5954.198,0.8703,3847.328,-57.11,"song"
14,"Spectrogram 1",1,74.016640712,74.845502016,2198.473,6412.214,0.8289,4213.74,-49.32,"song"
